Tijdstempel,What's your age ?,My mother tongue is...,Where do you live ?,Who is your (main) broker,What is your FIRE target date?,My main strategy is investing in... (you can only select one),... but my portfolio also contains... (you can select multiple),How big is your emergency fund?,How big is your portfolio ? (Not including your home),What is your FIRE target (portfolio size),"How much do you save each month? (choose closest)(Netto savings rate. Or in other words, how much of the money you get every month can you save?",What is your savings rate ?,I answer these questions as a....
21-7-2021 13:14:26,I am in my 30's,...Dutch,Province of Limburg,DeGiro,Before 67 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),"Alternative investments (Wine - Whiskey - Cars - Arts - etc...), Single shares or bonds",8.000-10.000€,Between 25 and 50k€,Between 450 and 500k€,Up to 1000€,Less then 35% (but more then above answer),single person trying to reach FIRE (1 person)
21-7-2021 13:15:40,I am in my 30's,...Dutch,Province of Antwerp,BinckBank,Before 55 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),"Crypto currency, Physical real estate (house - apartment - garage - agricultural - etc...)",6.000-8.000€,Between 100 and 125k€,Between 500 and 550k€,Up to 300€,Less then 15% (but more then above answer),single person trying to reach FIRE (1 person)
21-7-2021 13:16:15,I am in my 30's,...Dutch,Province of Flemish Brabant,DeGiro,Before 40 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),"Single shares or bonds, TAK21 Pension saving, TAK23 Pension saving",4.000-6.000€,Between 25 and 50k€,Between 1M€ and 1.2M€,Up to 1500€,Less then 60% (but more then above answer),single person trying to reach FIRE (1 person)
21-7-2021 13:22:20,I am in my 20's,....French,Province of Luxembourg,DeGiro,Before 40 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),,8.000-10.000€,Between 0 and 25k€,Between 600 and 700k€,Up to 2000€,Less then 60% (but more then above answer),single person trying to reach FIRE (1 person)
21-7-2021 13:22:46,I am in my 20's,...Dutch,Province of Antwerp,DeGiro,Before 50 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),"Crypto currency, Single shares or bonds",0 - 2.000€,Between 75 and 100k€,Between 1M€ and 1.2M€,Up to 2000€,Less then 90% (but more then above answer),single person trying to reach FIRE (1 person)
21-7-2021 13:22:52,I am in my 30's,....French,Brussels Capital Region,DeGiro,Before 50 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),Crypto currency,8.000-10.000€,Between 200 and 250k€,Between 1.2M€ and 1.4M€,Up to 2000€,Less then 50% (but more then above answer),single person trying to reach FIRE (1 person)
21-7-2021 13:23:21,I am in my 20's,...Dutch,Province of East Flanders,Bolero,Before 60 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),,12.000-14.000€,Between 25 and 50k€,Between 2.2M€ and 2.4M€,Up to 2200€,Less then 40% (but more then above answer),couple trying to reach FIRE (2 person)
21-7-2021 13:23:43,I am in my 20's,....French,Province of Hainaut,DeGiro,Before 55 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),Crypto currency,6.000-8.000€,Between 0 and 25k€,Between 1M€ and 1.2M€,Up to 800€,Less then 30% (but more then above answer),couple trying to reach FIRE (2 person)
21-7-2021 13:24:02,,,,,,,,,,,,,
21-7-2021 13:25:44,I am in my 20's,...Dutch,Province of Antwerp,DeGiro,Before 40 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),niets,0 - 2.000€,Between 75 and 100k€,Between 600 and 700k€,Up to 1100€,Less then 55% (but more then above answer),single person trying to reach FIRE (1 person)
21-7-2021 13:27:57,I am in my 40's,...English,Brussels Capital Region,Bolero,Before 45 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),,2.000-4.000€,Between 600 and 700k€,Between 900 and 1M€,Up to 3000€,,couple trying to reach FIRE (2 person)
21-7-2021 13:28:19,I am in my 20's,...Dutch,Province of Antwerp,DeGiro,Before 45 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),"Commodities: Gold - Silver - Platinum - etc..., Crypto currency, Mutual share funds, Mutual bond funds, Equity REIT's (investment company investing in Real Estate), Single shares or bonds",18.000-20.000€,Between 150 and 200k€,Between 700 and 800k€,Up to 200€,Less then 20% (but more then above answer),single person trying to reach FIRE (1 person)
21-7-2021 13:28:20,I am in my 20's,Greek,Province of Flemish Brabant,"Just starting out, still have to choose one",I don't think I will FIRE before I officially retire (67),Savings Accounts (not started investing yet; ETFs in the future),Crypto currency,10.000-12.000€,Between 0 and 25k€,Between 1M€ and 1.2M€,Up to 800€,Less then 40% (but more then above answer),single person trying to reach FIRE (1 person)
21-7-2021 13:28:20,I am in my 50's,...Dutch,Province of Flemish Brabant,Bolero,I don't think I will FIRE before I officially retire (67),Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),"Mutual share funds, Physical real estate (house - apartment - garage - agricultural - etc...)",More then 20.000€,Between 0 and 25k€,Between 450 and 500k€,Up to 300€,Less then 10% (but more then above answer),single person trying to reach FIRE (1 person)
21-7-2021 13:28:27,I am in my 30's,...Dutch,I am living in another country,BinckBank,Before 45 years of age,Crypto currency,"Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...), Physical real estate (house - apartment - garage - agricultural - etc...), Single shares or bonds",8.000-10.000€,More then 1M€,Between 5M€ and 10M€,Above 4000€,Less then 70% (but more then above answer),couple trying to reach FIRE (2 person)
21-7-2021 13:28:30,I am in my 20's,...Dutch,Province of East Flanders,DeGiro,I don't think I will FIRE before I officially retire (67),Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),,More then 20.000€,Between 75 and 100k€,Between 1M€ and 1.2M€,Up to 1000€,Less then 50% (but more then above answer),couple trying to reach FIRE (2 person)
21-7-2021 13:29:56,I am in my 20's,...Dutch,Province of East Flanders,Bolero,Before 35 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),,More then 20.000€,Between 50 and 75k€,,Up to 600€,Less then 45% (but more then above answer),single person trying to reach FIRE (1 person)
21-7-2021 13:33:21,I am in my 20's,...Dutch,Province of Antwerp,Bolero,Before 40 years of age,Physical real estate (house - apartment - garage - agricultural - etc...),"Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...), Single shares or bonds",12.000-14.000€,Between 75 and 100k€,Between 1.8M€ and 2M€,Up to 3000€,Less then 85% (but more then above answer),single person trying to reach FIRE (1 person)
21-7-2021 13:34:04,I am in my 20's,...English,Province of Flemish Brabant,Keytrade,Before 50 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),"Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...), Broadly diversified bond ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...), Mutual share funds, TAK23 Pension saving",16.000-18.000€,Between 50 and 75k€,Between 550 and 600k€,Up to 700€,Less then 40% (but more then above answer),single person trying to reach FIRE (1 person)
21-7-2021 13:34:27,I am in my 20's,...Dutch,Province of West Flanders,Mexem,I don't think I will FIRE before I officially retire (67),Single shares or bonds,"Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...), Commodities: Gold - Silver - Platinum - etc..., Crypto currency, Options, Equity REIT's (investment company investing in Real Estate), Single shares or bonds",8.000-10.000€,Between 0 and 25k€,Between 900 and 1M€,Up to 1000€,Less then 50% (but more then above answer),single person trying to reach FIRE (1 person)
21-7-2021 13:34:39,I am in my 30's,...Dutch,Province of Antwerp,Argenta,Before 55 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),Physical real estate (house - apartment - garage - agricultural - etc...),10.000-12.000€,Between 0 and 25k€,Between 1.4M€ and 1.6M€,Up to 1000€,Less then 25% (but more then above answer),couple trying to reach FIRE (2 person)
21-7-2021 13:34:59,I am in my 20's,...Dutch,Province of Flemish Brabant,DeGiro,Before 55 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),"Single shares or bonds, P2b lending",10.000-12.000€,Between 0 and 25k€,Between 550 and 600k€,Up to 800€,Less then 55% (but more then above answer),single person trying to reach FIRE (1 person)
21-7-2021 13:35:07,I am in my 30's,...Dutch,Province of Flemish Brabant,BinckBank,Before 50 years of age,Single shares or bonds,,More then 20.000€,Between 500 and 550k€,Between 2.4M€ and 2.6M€,Up to 1000€,Less then 50% (but more then above answer),couple trying to reach FIRE (2 person)
21-7-2021 13:36:07,I am in my 30's,...Dutch,Province of Antwerp,Bolero,Before 45 years of age,Crypto currency,Broadly diversified bond ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),8.000-10.000€,Between 250 and 300k€,Between 1.4M€ and 1.6M€,Up to 300€,Less then 5% (but more then above answer),couple trying to reach FIRE (2 person)
21-7-2021 13:38:59,I am in my 20's,...Dutch,Province of Antwerp,BinckBank,Before 60 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),Single shares or bonds,6.000-8.000€,Between 25 and 50k€,Between 500 and 550k€,Up to 1500€,Less then 70% (but more then above answer),single person trying to reach FIRE (1 person)
21-7-2021 13:40:32,I am in my 20's,....French,Brussels Capital Region,DeGiro,,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),Leveraged x3 s&p 500,8.000-10.000€,Between 25 and 50k€,,Up to 1400€,Less then 60% (but more then above answer),single person trying to reach FIRE (1 person)
21-7-2021 13:42:47,I am in my 30's,....French,Province of Liège,Bolero,Before 55 years of age,Single shares or bonds,"Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...), Crypto currency",More then 20.000€,Between 0 and 25k€,Between 550 and 600k€,Up to 1100€,Less then 40% (but more then above answer),single person trying to reach FIRE (1 person)
21-7-2021 13:44:25,I am in my 20's,...Dutch,Province of East Flanders,Bolero,I don't think I will FIRE before I officially retire (67),Crypto currency,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),4.000-6.000€,Between 0 and 25k€,Between 900 and 1M€,Up to 100€,Less then 20% (but more then above answer),single person trying to reach FIRE (1 person)
21-7-2021 13:45:06,I am in my 20's,Russian,Brussels Capital Region,"Just starting out, still have to choose one",Before 40 years of age,Single shares or bonds,,10.000-12.000€,Between 0 and 25k€,Between 900 and 1M€,Up to 400€,Less then 20% (but more then above answer),single person trying to reach FIRE (1 person)
21-7-2021 13:47:30,I am in my 20's,...Dutch,Province of Flemish Brabant,Bolero,Before 50 years of age,Crypto currency,"Equity REIT's (investment company investing in Real Estate), Single shares or bonds, TAK21 Pension saving",10.000-12.000€,Between 50 and 75k€,Between 3M€ and 3.5M€,Up to 1000€,Less then 30% (but more then above answer),couple trying to reach FIRE (2 person)
21-7-2021 13:47:32,I am in my 20's,...Dutch,Province of East Flanders,Bolero,Before 40 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),Physical real estate (house - apartment - garage - agricultural - etc...),More then 20.000€,Between 25 and 50k€,Between 800 and 900k€,Up to 2000€,Less then 70% (but more then above answer),single person trying to reach FIRE (1 person)
